postal_code,Years,useful,funny,cool,Price,use_change,fun_change,coo_change,pri_change,use_median,fun_median,coo_median,pri_median,use_std,fun_std,coo_std,pri_std,stars_1,stars_2,stars_3,stars_4,stars_5,Star1_change,Star2_change,Star3_change,Star4_change,Star5_change,stars,sta_median,sta_std,reviews_perc,prev_stars,Star_change,NumBsqft_Rev,Bsqft_change,MedPrice_sqft(t),MedPrice_sqft_tminus1,MedPrice_sqft_tminus2,MedPrice_sqft_tplus1
15034,2015,1.0625,0.5625,0.4375,2.25,1.125,0,0,0.125,0.5,0,0,2,2.205107707,1.504160896,1.263262971,0.5,0.25,0.0625,0.0625,0.0625,0.5625,0,0,-0.75,-0.5,0.5,3.625,5,1.784189825,0.000411184,3.375,0.074074074,16,2.2,51.5,50,46.5,55.5
15034,2016,0.210526316,0,0,1.714285714,-0.801857585,-1,-1,-0.238095238,0,0,0,2,0.418853908,0,0,0.755928946,0.368421053,0.210526316,0.052631579,0.157894737,0.210526316,0.473684211,2.368421053,-0.157894737,1.526315789,-0.625730994,2.631578947,2,1.640139774,0.000432172,3.625,-0.274047187,19,0.1875,55.5,51.5,50,58
15035,2012,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,5,0,5.98E-05,3,0.666666667,2.5,0,45,47,48,44
15035,2013,0.666666667,0,0.333333333,1.5,0,0,0,-0.25,1,0,0,1.5,0.577350269,0,0.577350269,0.707106781,0,0,0,0.333333333,0.666666667,0,0,0,0,-0.333333333,4.666666667,5,0.577350269,0.000142545,5,-0.066666667,5,1,44,45,47,45
15035,2014,1,0,0,1.5,0.5,0,-1,0,1,0,0,1.5,0,0,0,0.707106781,0,0,0,0,1,0,0,0,-1,0.5,5,5,0,6.94E-05,4.666666667,0.071428571,5,0,45,44,45,47
15035,2015,0.583333333,0.25,0.25,1.6,-0.416666667,0,0,0.066666667,0,0,0,2,1.164500153,0.866025404,0.621581561,0.547722558,0,0.166666667,0.166666667,0.25,0.416666667,0,0,0,0,-0.583333333,3.916666667,4,1.164500153,0.000308388,5,-0.216666667,30,5,47,45,44,49.5
15035,2016,0.75,0.75,0.75,1.333333333,0.285714286,2,2,-0.166666667,0,0,0,1,1.5,1.5,1.5,0.577350269,0,0,0,0,1,0,-1,-1,-1,1.4,5,5,0,9.10E-05,3.916666667,0.276595745,10,-0.666666667,49.5,47,45,50.5
15037,2012,2,0.5,0.75,2,0,0,0,0,1.5,0,0.5,2,1.414213562,1,0.957427108,0,0,0.25,0,0.5,0.25,0,0,0,0,0,3.75,4,1.258305739,0.000239263,5,-0.25,0.113207547,0,76,77,76,78
15037,2013,1.266666667,0.2,0.133333333,1.8,-0.366666667,-0.6,-0.822222222,-0.1,1,0,0,2,2.086236073,0.560611911,0.351865775,0.836660027,0,0.133333333,0.133333333,0.333333333,0.4,0,-0.466666667,0,-0.333333333,0.6,4,4,1.069044968,0.000712725,3.75,0.066666667,0.301886792,1.666666667,78,76,77,79
15037,2014,0.291666667,0.125,0.041666667,1.714285714,-0.769736842,-0.375,-0.6875,-0.047619048,0,0,0,2,0.624093546,0.448427203,0.204124145,0.755928946,0.166666667,0,0.041666667,0.333333333,0.458333333,0,-1,-0.6875,0,0.145833333,3.916666667,4,1.442120018,0.000832957,4,-0.020833333,0.452830189,0.5,79,78,76,82
15037,2015,0.617647059,0.029411765,0.058823529,1.666666667,1.117647059,-0.764705882,0.411764706,-0.027777778,0,0,0,2,1.015477373,0.171498585,0.34299717,0.707106781,0.176470588,0,0.058823529,0.176470588,0.588235294,0.058823529,0,0.411764706,-0.470588235,0.28342246,4,5,1.517573821,0.000873766,3.916666667,0.021276596,1.283018868,1.833333333,82,79,78,85
