postal_code,Years,useful,funny,cool,Price,stars_1,stars_2,stars_3,stars_4,stars_5,stars,reviews_perc,prev_stars,stars_perc,Perc_Change_tminus1,Per_Change_t,Perc_Change_tplus1
15132,2010,1.5,0.666666667,0.166666667,1.75,0,0.166666667,0,0.166666667,0.666666667,4.333333333,0.000956175,,0.205797101,0.03030303,0,-0.014705882
15132,2011,0.666666667,0,0.333333333,2,0,0,0.333333333,0.333333333,0.333333333,4,0.000257091,4.333333333,-0.076923077,0,-0.014705882,-0.014925373
15132,2012,2.235294118,1.823529412,1.823529412,1.875,0.117647059,0.058823529,0.117647059,0.176470588,0.529411765,3.941176471,0.001016868,4,-0.014705882,-0.014705882,-0.014925373,0
15132,2013,0.875,0.166666667,0.125,1.888888889,0.25,0.041666667,0.083333333,0.208333333,0.416666667,3.5,0.001140359,3.941176471,-0.111940299,-0.014925373,0,0.03030303
15132,2014,0.939393939,0.303030303,0.393939394,1.846153846,0.121212121,0.181818182,0.090909091,0.181818182,0.424242424,3.606060606,0.001145316,3.5,0.03030303,0,0.03030303,0.029411765
15132,2015,0.245283019,0.075471698,0.018867925,1.833333333,0.132075472,0.094339623,0.094339623,0.20754717,0.471698113,3.79245283,0.001362048,3.606060606,0.0516886,0.03030303,0.029411765,0.071428571
15132,2016,0.387755102,0.102040816,0.367346939,1.941176471,0.12244898,0.06122449,0.081632653,0.163265306,0.571428571,4,0.001114548,3.79245283,0.054726368,0.029411765,0.071428571,0.026666667
15132,2017,0,0,0,1.833333333,0.166666667,0,0,0.166666667,0.666666667,4.166666667,0.002401922,4,0.041666667,0.071428571,0.026666667,-1
15133,2010,1,0,0,2,0,0,0,1,0,4,0.000318725,,-0.04,0,0,-0.035714286
15133,2012,1,0,0,2,0,0,0,0,1,5,5.98E-05,,0.25,-0.035714286,-0.046296296,-0.029126214
15133,2013,1,0,0,2,1,0,0,0,0,1,4.75E-05,5,-0.8,-0.046296296,-0.029126214,0.05
15133,2014,0.25,0.5,0,2,0,0,0,0.5,0.5,4.5,0.000138826,1,3.5,-0.029126214,0.05,0.019047619
15133,2015,0.25,0,0,2,0,0.25,0.25,0.25,0.25,3.5,0.000102796,4.5,-0.222222222,0.05,0.019047619,0.102803738
15133,2016,0,0,0,2,0.25,0,0,0,0.75,4,9.10E-05,3.5,0.142857143,0.019047619,0.102803738,0.016949153
15134,2011,1,0,0,,0,0,1,0,0,3,8.57E-05,,-0.25,,,
15134,2015,0,0,0,,0.666666667,0,0,0.333333333,0,2,7.71E-05,,-0.333333333,,,
15135,2008,0,0,0,3,0,0,1,0,0,3,0.000530504,,0.5,0.046979866,-0.012820513,0
15135,2013,1,0,0.4,2.5,0,0.4,0.2,0.2,0.2,3.2,0.000237575,,0.066666667,-0.025974026,0,0.02
15135,2014,0,0,0.2,2,0,0.2,0.4,0.2,0.2,3.4,0.000173533,3.2,0.0625,0,0.02,0.045751634
15135,2015,1,0,0.333333333,1.666666667,0.333333333,0,0,0.333333333,0.333333333,3.333333333,7.71E-05,3.4,-0.019607843,0.02,0.045751634,0.0375
15135,2016,0.333333333,0,0,1,0,0,0,0.666666667,0.333333333,4.333333333,0.000136475,3.333333333,0.3,0.045751634,0.0375,0.054216867
15136,2008,5,2,0,2,0,0,0,0,1,5,0.000530504,,0.153846154,0.014285714,0.007042254,-0.048951049
15136,2010,1.727272727,0.909090909,1,1.6,0.181818182,0,0.090909091,0.363636364,0.363636364,3.727272727,0.001752988,,-0.254545455,-0.048951049,0.029411765,-0.007142857
15136,2011,2.269230769,1.423076923,1.653846154,1.785714286,0.038461538,0.076923077,0.115384615,0.461538462,0.307692308,3.923076923,0.002228126,3.727272727,0.052532833,0.029411765,-0.007142857,-0.007194245
15136,2012,1.254237288,0.389830508,0.677966102,1.8,0.118644068,0.101694915,0.152542373,0.288135593,0.338983051,3.627118644,0.00352913,3.923076923,-0.075440346,-0.007142857,-0.007194245,0.014492754
15136,2013,0.780821918,0.232876712,0.273972603,1.903225806,0.136986301,0.150684932,0.191780822,0.123287671,0.397260274,3.493150685,0.003468593,3.627118644,-0.036935092,-0.007194245,0.014492754,0
15136,2014,0.797979798,0.141414141,0.222222222,1.820512821,0.080808081,0.080808081,0.060606061,0.181818182,0.595959596,4.131313131,0.003435949,3.493150685,0.182689642,0.014492754,0,0.071428571
15136,2015,0.622093023,0.139534884,0.197674419,1.816326531,0.13372093,0.075581395,0.087209302,0.197674419,0.505813953,3.86627907,0.00442023,4.131313131,-0.064152499,0,0.071428571,0.146666667
15136,2016,0.457831325,0.076305221,0.281124498,1.8,0.140562249,0.0562249,0.120481928,0.204819277,0.477911647,3.823293173,0.005663725,3.86627907,-0.011118157,0.071428571,0.146666667,0.029069767
15136,2017,0.222222222,0,0.111111111,1.875,0,0.111111111,0.111111111,0.222222222,0.555555556,4.222222222,0.003602882,3.823293173,0.104341737,0.146666667,0.029069767,-1
15137,2010,1.333333333,0,0,2,0,0,0.333333333,0,0.666666667,4.333333333,0.000478088,,0.026315789,-0.061538462,-0.016393443,-0.025
15137,2011,3.25,1.416666667,0.416666667,2,0.166666667,0.166666667,0.166666667,0.416666667,0.083333333,3.083333333,0.001028366,4.333333333,-0.288461538,-0.016393443,-0.025,-0.025641026
15137,2012,1.380952381,0.238095238,0.095238095,2,0.19047619,0.047619048,0.19047619,0.285714286,0.285714286,3.428571429,0.001256131,3.083333333,0.111969112,-0.025,-0.025641026,0
15137,2013,0.444444444,0.333333333,0.222222222,1.7,0.259259259,0.074074074,0.111111111,0.222222222,0.333333333,3.296296296,0.001282904,3.428571429,-0.038580247,-0.025641026,0,0.043859649
15137,2014,0.763157895,0.342105263,0.263157895,1.666666667,0.157894737,0.052631579,0.078947368,0.289473684,0.421052632,3.763157895,0.001318849,3.296296296,0.14163217,0,0.043859649,0
15137,2015,0.583333333,0.083333333,0.383333333,1.703703704,0.233333333,0.083333333,0.133333333,0.266666667,0.283333333,3.283333333,0.001541941,3.763157895,-0.127505828,0.043859649,0,0.075630252
15137,2016,0.62962963,0.209876543,0.358024691,1.793103448,0.197530864,0.160493827,0.098765432,0.197530864,0.345679012,3.333333333,0.001842417,3.283333333,0.015228426,0,0.075630252,0
15137,2017,0,0,0,1.8,0.333333333,0,0,0.166666667,0.5,3.5,0.002401922,3.333333333,0.05,0.075630252,0,-1
